run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,0,1,1,dephase_z,iid_p,0.01,0.01,1.0,0,False,0,0.9899999999999995,0.01,0.9801999999999996,0.9799999999999998,0.9999999999999996,0.9899999999999995,0.01,0.01,0.9801999999999996,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,1.0,0,False,1,0.9998979800040808,0.000102019995919,0.9997959808243208,0.9997959600081616,0.9999999999999996,0.9899999999999995,0.000102019995919,0.01,0.9997959808243208,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,2,4,4,dephase_z,iid_p,0.01,0.01,1.0,0,False,2,0.9999999895897964,1.0410203310495802e-08,0.9999999791795934,0.9999999791795932,0.9999999999999996,0.9899999999999995,1.0410203310495802e-08,0.01,0.9999999791795934,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,3,8,8,dephase_z,iid_p,0.01,0.01,1.0,0,False,3,0.9999999999999996,5.551115123125783e-17,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9899999999999995,5.551115123125783e-17,0.01,0.9999999999999996,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,4,16,16,dephase_z,iid_p,0.01,0.01,1.0,0,False,4,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,5,32,32,dephase_z,iid_p,0.01,0.01,1.0,0,False,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,6,64,64,dephase_z,iid_p,0.01,0.01,1.0,0,False,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,7,128,128,dephase_z,iid_p,0.01,0.01,1.0,0,False,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,8,256,256,dephase_z,iid_p,0.01,0.01,1.0,0,False,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,9,512,512,dephase_z,iid_p,0.01,0.01,1.0,0,False,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.01000,1,0,1,10,1024,1024,dephase_z,iid_p,0.01,0.01,1.0,0,False,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999995,1.1102230246251563e-16,0.01,1.0,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,0,1,1,dephase_z,iid_p,0.1,0.1,1.0,0,False,0,0.8999999999999996,0.1,0.8199999999999994,0.7999999999999997,0.9999999999999996,0.8999999999999996,0.1,0.1,0.8199999999999994,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,1.0,0,False,1,0.9878048780487804,0.0121951219512193,0.9759071980963712,0.9756097560975612,0.9999999999999996,0.8999999999999996,0.0121951219512193,0.1,0.9759071980963712,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,2,4,4,dephase_z,iid_p,0.1,0.1,1.0,0,False,2,0.999847607436757,0.0001523925632427,0.999695261320501,0.9996952148735144,0.9999999999999996,0.8999999999999996,0.0001523925632427,0.1,0.999695261320501,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,3,8,8,dephase_z,iid_p,0.1,0.1,1.0,0,False,3,0.9999999767694272,2.3230572465671173e-08,0.999999953538856,0.9999999535388548,0.9999999999999996,0.8999999999999996,2.3230572465671173e-08,0.1,0.999999953538856,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,4,16,16,dephase_z,iid_p,0.1,0.1,1.0,0,False,4,0.9999999999999992,3.885780586188048e-16,0.999999999999999,0.999999999999999,0.9999999999999996,0.8999999999999996,3.885780586188048e-16,0.1,0.999999999999999,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,5,32,32,dephase_z,iid_p,0.1,0.1,1.0,0,False,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,6,64,64,dephase_z,iid_p,0.1,0.1,1.0,0,False,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,7,128,128,dephase_z,iid_p,0.1,0.1,1.0,0,False,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,8,256,256,dephase_z,iid_p,0.1,0.1,1.0,0,False,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,9,512,512,dephase_z,iid_p,0.1,0.1,1.0,0,False,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.10000,1,0,1,10,1024,1024,dephase_z,iid_p,0.1,0.1,1.0,0,False,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999996,1.1102230246251563e-16,0.1,1.0,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,0,1,1,dephase_z,iid_p,0.2,0.2,1.0,0,False,0,0.7999999999999996,0.2,0.6799999999999995,0.5999999999999998,0.9999999999999996,0.7999999999999996,0.2,0.2,0.6799999999999995,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,1.0,0,False,1,0.941176470588235,0.0588235294117646,0.8892733564013838,0.8823529411764705,0.9999999999999996,0.7999999999999996,0.0588235294117646,0.2,0.8892733564013838,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,2,4,4,dephase_z,iid_p,0.2,0.2,1.0,0,False,2,0.996108949416342,0.0038910505836575,0.9922481793819736,0.9922178988326849,0.9999999999999996,0.7999999999999996,0.0038910505836575,0.2,0.9922481793819736,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,3,8,8,dephase_z,iid_p,0.2,0.2,1.0,0,False,3,0.9999847414437644,1.5258556235298038e-05,0.9999694833531764,0.9999694828875292,0.9999999999999996,0.7999999999999996,1.5258556235298038e-05,0.2,0.9999694833531764,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,4,16,16,dephase_z,iid_p,0.2,0.2,1.0,0,False,4,0.9999999997671692,2.328305326315672e-10,0.9999999995343388,0.9999999995343388,0.9999999999999996,0.7999999999999996,2.328305326315672e-10,0.2,0.9999999995343388,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,5,32,32,dephase_z,iid_p,0.2,0.2,1.0,0,False,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,6,64,64,dephase_z,iid_p,0.2,0.2,1.0,0,False,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,7,128,128,dephase_z,iid_p,0.2,0.2,1.0,0,False,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,8,256,256,dephase_z,iid_p,0.2,0.2,1.0,0,False,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,9,512,512,dephase_z,iid_p,0.2,0.2,1.0,0,False,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.20000,1,0,1,10,1024,1024,dephase_z,iid_p,0.2,0.2,1.0,0,False,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999996,1.1102230246251563e-16,0.2,1.0,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,0,1,1,dephase_z,iid_p,0.3,0.3,1.0,0,False,0,0.6999999999999998,0.2999999999999999,0.5799999999999997,0.3999999999999999,0.9999999999999996,0.6999999999999998,0.2999999999999999,0.2999999999999999,0.5799999999999997,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,1.0,0,False,1,0.8448275862068965,0.1551724137931033,0.7378121284185494,0.6896551724137931,0.9999999999999996,0.6999999999999998,0.1551724137931033,0.2999999999999999,0.7378121284185494,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,2,4,4,dephase_z,iid_p,0.3,0.3,1.0,0,False,2,0.9673650282030616,0.0326349717969378,0.9368601391744978,0.934730056406124,0.9999999999999996,0.6999999999999998,0.0326349717969378,0.2999999999999999,0.9368601391744978,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,3,8,8,dephase_z,iid_p,0.3,0.3,1.0,0,False,3,0.9988631799564812,0.0011368200435182,0.9977289446325858,0.9977263599129632,0.9999999999999996,0.6999999999999998,0.0011368200435182,0.2999999999999999,0.9977289446325858,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,4,16,16,dephase_z,iid_p,0.3,0.3,1.0,0,False,4,0.9999987046984872,1.2953015126604406e-06,0.99999740940033,0.9999974093969743,0.9999999999999996,0.6999999999999998,1.2953015126604406e-06,0.2999999999999999,0.99999740940033,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,5,32,32,dephase_z,iid_p,0.3,0.3,1.0,0,False,5,0.999999999998322,1.677658012511074e-12,0.9999999999966444,0.9999999999966444,0.9999999999999996,0.6999999999999998,1.677658012511074e-12,0.2999999999999999,0.9999999999966444,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,6,64,64,dephase_z,iid_p,0.3,0.3,1.0,0,False,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999998,1.1102230246251563e-16,0.2999999999999999,1.0,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,7,128,128,dephase_z,iid_p,0.3,0.3,1.0,0,False,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999998,1.1102230246251563e-16,0.2999999999999999,1.0,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,8,256,256,dephase_z,iid_p,0.3,0.3,1.0,0,False,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999998,1.1102230246251563e-16,0.2999999999999999,1.0,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,9,512,512,dephase_z,iid_p,0.3,0.3,1.0,0,False,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999998,1.1102230246251563e-16,0.2999999999999999,1.0,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.30000,1,0,1,10,1024,1024,dephase_z,iid_p,0.3,0.3,1.0,0,False,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999998,1.1102230246251563e-16,0.2999999999999999,1.0,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,0,1,1,dephase_z,iid_p,0.4,0.4,1.0,0,False,0,0.5999999999999998,0.3999999999999999,0.5199999999999998,0.1999999999999999,0.9999999999999996,0.5999999999999998,0.3999999999999999,0.3999999999999999,0.5199999999999998,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,1.0,0,False,1,0.6923076923076922,0.3076923076923076,0.57396449704142,0.3846153846153844,0.9999999999999996,0.5999999999999998,0.3076923076923076,0.3999999999999999,0.57396449704142,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,2,4,4,dephase_z,iid_p,0.4,0.4,1.0,0,False,2,0.8350515463917524,0.1649484536082474,0.7245190774790093,0.670103092783505,0.9999999999999996,0.5999999999999998,0.1649484536082474,0.3999999999999999,0.7245190774790093,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,3,8,8,dephase_z,iid_p,0.4,0.4,1.0,0,False,3,0.96244682411618,0.0375531758838197,0.9277141302702824,0.9248936482323602,0.9999999999999996,0.5999999999999998,0.0375531758838197,0.3999999999999999,0.9277141302702824,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,4,16,16,dephase_z,iid_p,0.4,0.4,1.0,0,False,4,0.9984798754562998,0.0015201245436998,0.9969643724698568,0.9969597509126,0.9999999999999996,0.5999999999999998,0.0015201245436998,0.3999999999999999,0.9969643724698568,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,5,32,32,dephase_z,iid_p,0.4,0.4,1.0,0,False,5,0.9999976821853496,2.3178146502100816e-06,0.999995364381444,0.9999953643706994,0.9999999999999996,0.5999999999999998,2.3178146502100816e-06,0.3999999999999999,0.999995364381444,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,6,64,64,dephase_z,iid_p,0.4,0.4,1.0,0,False,6,0.9999999999946276,5.372202682707439e-12,0.9999999999892554,0.9999999999892554,0.9999999999999996,0.5999999999999998,5.372202682707439e-12,0.3999999999999999,0.9999999999892554,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,7,128,128,dephase_z,iid_p,0.4,0.4,1.0,0,False,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.5999999999999998,1.1102230246251563e-16,0.3999999999999999,1.0,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,8,256,256,dephase_z,iid_p,0.4,0.4,1.0,0,False,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.5999999999999998,1.1102230246251563e-16,0.3999999999999999,1.0,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,9,512,512,dephase_z,iid_p,0.4,0.4,1.0,0,False,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.5999999999999998,1.1102230246251563e-16,0.3999999999999999,1.0,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000,1,0,1,10,1024,1024,dephase_z,iid_p,0.4,0.4,1.0,0,False,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.5999999999999998,1.1102230246251563e-16,0.3999999999999999,1.0,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,0,1,1,dephase_z,iid_p,0.5,0.5,1.0,0,False,0,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,1,2,2,dephase_z,iid_p,0.5,0.5,1.0,0,False,1,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,2,4,4,dephase_z,iid_p,0.5,0.5,1.0,0,False,2,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,3,8,8,dephase_z,iid_p,0.5,0.5,1.0,0,False,3,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,4,16,16,dephase_z,iid_p,0.5,0.5,1.0,0,False,4,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,5,32,32,dephase_z,iid_p,0.5,0.5,1.0,0,False,5,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,6,64,64,dephase_z,iid_p,0.5,0.5,1.0,0,False,6,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,7,128,128,dephase_z,iid_p,0.5,0.5,1.0,0,False,7,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,8,256,256,dephase_z,iid_p,0.5,0.5,1.0,0,False,8,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,9,512,512,dephase_z,iid_p,0.5,0.5,1.0,0,False,9,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.50000,1,0,1,10,1024,1024,dephase_z,iid_p,0.5,0.5,1.0,0,False,10,0.4999999999999999,0.4999999999999999,0.5,0.0,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,0,1,1,dephase_z,iid_p,0.6,0.6,1.0,0,False,0,0.3999999999999998,0.5999999999999999,0.5199999999999998,0.1999999999999999,0.9999999999999996,0.3999999999999998,0.5999999999999999,0.5999999999999999,0.5199999999999998,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,1,2,2,dephase_z,iid_p,0.6,0.6,1.0,0,False,1,0.3076923076923077,0.6923076923076921,0.57396449704142,0.3846153846153844,0.9999999999999996,0.3999999999999998,0.6923076923076921,0.5999999999999999,0.57396449704142,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,2,4,4,dephase_z,iid_p,0.6,0.6,1.0,0,False,2,0.1649484536082474,0.8350515463917524,0.7245190774790093,0.670103092783505,0.9999999999999996,0.3999999999999998,0.8350515463917524,0.5999999999999999,0.7245190774790093,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,3,8,8,dephase_z,iid_p,0.6,0.6,1.0,0,False,3,0.0375531758838198,0.96244682411618,0.9277141302702824,0.9248936482323602,0.9999999999999996,0.3999999999999998,0.96244682411618,0.5999999999999999,0.9277141302702824,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,4,16,16,dephase_z,iid_p,0.6,0.6,1.0,0,False,4,0.0015201245437,0.9984798754563,0.9969643724698568,0.9969597509126,0.9999999999999996,0.3999999999999998,0.9984798754563,0.5999999999999999,0.9969643724698568,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,5,32,32,dephase_z,iid_p,0.6,0.6,1.0,0,False,5,2.31781465028462e-06,0.9999976821853496,0.999995364381444,0.9999953643706994,0.9999999999999996,0.3999999999999998,0.9999976821853496,0.5999999999999999,0.999995364381444,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,6,64,64,dephase_z,iid_p,0.6,0.6,1.0,0,False,6,5.372306861255339e-12,0.9999999999946276,0.9999999999892554,0.9999999999892554,0.9999999999999996,0.3999999999999998,0.9999999999946276,0.5999999999999999,0.9999999999892554,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,7,128,128,dephase_z,iid_p,0.6,0.6,1.0,0,False,7,0.0,1.0,1.0,1.0,0.9999999999999996,0.3999999999999998,1.0,0.5999999999999999,1.0,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.60000,1,0,1,8,256,256,dephase_z,iid_p,0.6,0.6,1.0,0,False,8,0.0,1.0,1.0,1.0,0.9999999999999996,0.3999999999999998,1.0,0.5999999999999999,1.0,0.5199999999999998
