run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,subset_fraction,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,0,1,1,dephase_z,iid_p,0.01,0.01,1.0,0,True,0.2,0,0.9899999999999994,0.0100000000000001,0.9801999999999992,0.9799999999999996,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9801999999999992,0,True,0.2,1,0.9998979800040808,0.0001020199959191,0.9997959808243206,0.9997959600081616,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,2,4,4,dephase_z,iid_p,0.01,0.01,0.9605960199999986,0,True,0.2,2,0.9999999895897964,1.0410203366006954e-08,0.9999999791795932,0.999999979179593,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,3,8,8,dephase_z,iid_p,0.01,0.01,0.9227446944279172,0,True,0.2,3,0.9999999999999998,1.1102230246251563e-16,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,4,16,16,dephase_z,iid_p,0.01,0.01,0.8514577710948702,0,True,0.2,4,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,5,32,32,dephase_z,iid_p,0.01,0.01,0.7249803359578446,0,True,0.2,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,6,64,64,dephase_z,iid_p,0.01,0.01,0.5255964875255492,0,True,0.2,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,7,128,128,dephase_z,iid_p,0.01,0.01,0.2762516676991947,0,True,0.2,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,8,256,256,dephase_z,iid_p,0.01,0.01,0.0763149839065863,0,True,0.2,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,9,512,512,dephase_z,iid_p,0.01,0.01,0.0058239767686625,0,True,0.2,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,0,1,10,1024,1024,dephase_z,iid_p,0.01,0.01,3.3918705401920926e-05,0,True,0.2,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.9899999999999994,0.0,0.0100000000000001,0.9999999999999996,0.9801999999999992
