run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9925,0.0086602540378444,0.0086602540378444,0.98515,0.98515,1.0,0,1,0,False,0.9850380703302792,0.9850380703302792
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999238694615034,0.0086602540378444,0.0043960579498233,0.98515,0.9998863895740032,0.5076130481407354,1,1,1,False,0.9850380703302792,0.9998863831196052
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806724786936,0.0086602540378444,0.0043959405979359,0.98515,0.9999999935448683,0.5075994975119819,2,1,2,False,0.9850380703302792,0.9999999935448688
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501509,3,1,3,False,0.9850380703302792,1.0
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0000000000000002,0.5075994991501436,4,1,4,False,0.9850380703302792,1.0000000000000002
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501412,5,1,5,False,0.9850380703302792,1.0
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501412,6,1,6,False,0.9850380703302792,1.0
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501412,7,1,7,False,0.9850380703302792,1.0
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501412,8,1,8,False,0.9850380703302792,1.0
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9925,0.9999806757061348,0.0086602540378444,0.0043959406121228,0.98515,1.0,0.5075994991501412,9,1,9,False,0.9850380703302792,1.0
