run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9933333333333328,0.0066666666666666,0.0066666666666666,0.986755555555555,0.986755555555555,1.0,0,1,0,False,0.9866666666666664,0.9866666666666664
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999549590127012,0.0066666666666666,4.504098729835038e-05,0.986755555555555,0.9999099220827842,0.0067561480947525,1,1,1,False,0.9866666666666664,0.9999099180254032
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999979711264,0.0066666666666666,2.0288732360818074e-09,0.986755555555555,0.9999999959422532,3.043309854122717e-07,2,1,2,False,0.9866666666666664,0.9999999959422532
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,3,1,3,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,4,1,4,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,5,1,5,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,6,1,6,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,7,1,7,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,8,1,8,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,9,1,9,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333333328,0.9999999999999998,0.0066666666666666,1.1102230246251563e-16,0.986755555555555,1.0,1.6653345369377383e-14,10,1,10,False,0.9866666666666664,1.0
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333333328,0.9333333333333328,0.0666666666666667,0.0666666666666667,0.875555555555555,0.875555555555555,1.0,0,1,0,False,0.8666666666666664,0.8666666666666664
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333333328,0.99492385786802,0.0666666666666667,0.0050761421319796,0.875555555555555,0.9898992501739284,0.0761421319796947,1,1,1,False,0.8666666666666664,0.9898477157360404
