noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,128,0.01,0,1,7,8,7.0,127,0,3.984928007372268e-05,3.984928007372268e-05,3.984928007372268e-05,18.285714285714285,[7],True,Depolarizing_d2_delta0.010
depolarizing,2,128,0.1,0,1,7,8,7.0,127,0,0.00048139686940856796,0.00048139686940856796,0.00048139686940856796,18.285714285714285,[7],True,Depolarizing_d2_delta0.100
depolarizing,2,128,0.2,0,1,7,8,7.0,127,0,0.001216310723194669,0.001216310723194669,0.001216310723194669,18.285714285714285,[7],True,Depolarizing_d2_delta0.200
depolarizing,2,128,0.3,0,1,7,8,7.0,127,0,0.0023797703810490844,0.0023797703810490844,0.0023797703810490844,18.285714285714285,[7],True,Depolarizing_d2_delta0.300
depolarizing,2,128,0.4,0,1,7,8,7.0,127,0,0.004316679421504932,0.004316679421504932,0.004316679421504932,18.285714285714285,[7],True,Depolarizing_d2_delta0.400
depolarizing,2,128,0.5,0,1,7,8,7.0,127,0,0.007770364374534877,0.007770364374534877,0.007770364374534877,18.285714285714285,[7],True,Depolarizing_d2_delta0.500
depolarizing,2,128,0.7,0,1,7,8,7.0,127,0,0.029637644659280205,0.029637644659280205,0.029637644659280205,18.285714285714285,[7],True,Depolarizing_d2_delta0.700
depolarizing,2,128,0.8,0,1,7,8,7.0,127,0,0.06962143663455533,0.06962143663455533,0.06962143663455533,18.285714285714285,[7],True,Depolarizing_d2_delta0.800
depolarizing,2,128,0.9,0,1,7,8,7.0,127,0,0.1927019357890684,0.1927019357890684,0.1927019357890684,18.285714285714285,[7],True,Depolarizing_d2_delta0.900
depolarizing,2,256,0.01,0,1,8,9,8.0,255,0,1.992622803359545e-05,1.992622803359545e-05,1.992622803359545e-05,32.0,[8],True,Depolarizing_d2_delta0.010
depolarizing,2,256,0.1,0,1,8,9,8.0,255,0,0.00024093023340343578,0.00024093023340343578,0.00024093023340343578,32.0,[8],True,Depolarizing_d2_delta0.100
depolarizing,2,256,0.2,0,1,8,9,8.0,255,0,0.000609635671987907,0.000609635671987907,0.000609635671987907,32.0,[8],True,Depolarizing_d2_delta0.200
depolarizing,2,256,0.3,0,1,8,9,8.0,255,0,0.0011955552201633468,0.0011955552201633468,0.0011955552201633468,32.0,[8],True,Depolarizing_d2_delta0.300
depolarizing,2,256,0.4,0,1,8,9,8.0,255,0,0.0021770134747711722,0.0021770134747711722,0.0021770134747711722,32.0,[8],True,Depolarizing_d2_delta0.400
depolarizing,2,256,0.5,0,1,8,9,8.0,255,0,0.003945793480274018,0.003945793480274018,0.003945793480274018,32.0,[8],True,Depolarizing_d2_delta0.500
depolarizing,2,256,0.7,0,1,8,9,8.0,255,0,0.01570982003546567,0.01570982003546567,0.01570982003546567,32.0,[8],True,Depolarizing_d2_delta0.700
depolarizing,2,256,0.8,0,1,8,9,8.0,255,0,0.039813159781735497,0.039813159781735497,0.039813159781735497,32.0,[8],True,Depolarizing_d2_delta0.800
depolarizing,2,256,0.9,0,1,8,9,8.0,255,0,0.13608907795726688,0.13608907795726688,0.13608907795726688,32.0,[8],True,Depolarizing_d2_delta0.900
depolarizing,2,512,0.01,0,1,9,10,9.0,511,0,9.963511075350429e-06,9.963511075350429e-06,9.963511075350429e-06,56.888888888888886,[9],True,Depolarizing_d2_delta0.010
depolarizing,2,512,0.1,0,1,9,10,9.0,511,0,0.00012052317107008603,0.00012052317107008603,0.00012052317107008603,56.888888888888886,[9],True,Depolarizing_d2_delta0.100
depolarizing,2,512,0.2,0,1,9,10,9.0,511,0,0.00030518960486464186,0.00030518960486464186,0.00030518960486464186,56.888888888888886,[9],True,Depolarizing_d2_delta0.200
depolarizing,2,512,0.3,0,1,9,10,9.0,511,0,0.0005992078157769365,0.0005992078157769365,0.0005992078157769365,56.888888888888886,[9],True,Depolarizing_d2_delta0.300
depolarizing,2,512,0.4,0,1,9,10,9.0,511,0,0.001093251272630491,0.001093251272630491,0.001093251272630491,56.888888888888886,[9],True,Depolarizing_d2_delta0.400
depolarizing,2,512,0.5,0,1,9,10,9.0,511,0,0.0019884966207602273,0.0019884966207602273,0.0019884966207602273,56.888888888888886,[9],True,Depolarizing_d2_delta0.500
depolarizing,2,512,0.7,0,1,9,10,9.0,511,0,0.008103615623854254,0.008103615623854254,0.008103615623854254,56.888888888888886,[9],True,Depolarizing_d2_delta0.700
depolarizing,2,512,0.8,0,1,9,10,9.0,511,0,0.021521863069709157,0.021521863069709157,0.021521863069709157,56.888888888888886,[9],True,Depolarizing_d2_delta0.800
depolarizing,2,512,0.9,0,1,9,10,9.0,511,0,0.08760417936728787,0.08760417936728787,0.08760417936728787,56.888888888888886,[9],True,Depolarizing_d2_delta0.900
depolarizing,2,1024,0.01,0,1,10,11,10.0,1023,0,4.981854809738007e-06,4.981854809738007e-06,4.981854809738007e-06,102.4,[10],True,Depolarizing_d2_delta0.010
depolarizing,2,1024,0.1,0,1,10,11,10.0,1023,0,6.027611224501683e-05,6.027611224501683e-05,6.027611224501683e-05,102.4,[10],True,Depolarizing_d2_delta0.100
depolarizing,2,1024,0.2,0,1,10,11,10.0,1023,0,0.0001526879573356399,0.0001526879573356399,0.0001526879573356399,102.4,[10],True,Depolarizing_d2_delta0.200
depolarizing,2,1024,0.3,0,1,10,11,10.0,1023,0,0.00029996306540319706,0.00029996306540319706,0.00029996306540319706,102.4,[10],True,Depolarizing_d2_delta0.300
depolarizing,2,1024,0.4,0,1,10,11,10.0,1023,0,0.0005478214872705611,0.0005478214872705611,0.0005478214872705611,102.4,[10],True,Depolarizing_d2_delta0.400
depolarizing,2,1024,0.5,0,1,10,11,10.0,1023,0,0.0009982063527181895,0.0009982063527181895,0.0009982063527181895,102.4,[10],True,Depolarizing_d2_delta0.500
depolarizing,2,1024,0.7,0,1,10,11,10.0,1023,0,0.004117740283329063,0.004117740283329063,0.004117740283329063,102.4,[10],True,Depolarizing_d2_delta0.700
depolarizing,2,1024,0.8,0,1,10,11,10.0,1023,0,0.011228994548319826,0.011228994548319826,0.011228994548319826,102.4,[10],True,Depolarizing_d2_delta0.800
