noise_type,dimension,N,physical_error_rate,batch_memory,streaming_memory,memory_improvement_factor,batch_final_error,streaming_best_error,streaming_average_error,streaming_output_count,batch_swaps,streaming_swaps,batch_amplifications,streaming_amplifications,batch_convergence,streaming_convergence
depolarizing,2,8,0.01,8,3,2.6666666666666665,0.0006360686960057427,0.0006360686960057427,0.0006360686960057427,1,7,7,0,0,True,True
depolarizing,2,8,0.1,8,3,2.6666666666666665,0.007487790810549455,0.007487790810549455,0.007487790810549455,1,7,7,0,0,True,True
depolarizing,2,8,0.2,8,3,2.6666666666666665,0.018161044852027297,0.018161044852027297,0.018161044852027297,1,7,7,0,0,True,True
depolarizing,2,8,0.3,8,3,2.6666666666666665,0.03346617716880623,0.03346617716880623,0.03346617716880623,1,7,7,0,0,True,True
depolarizing,2,16,0.01,16,4,4.0,0.0003184390599783593,0.0003184390599783593,0.0003184390599783593,1,15,15,0,0,True,True
depolarizing,2,16,0.1,16,4,4.0,0.0038001707301427157,0.0038001707301427157,0.0038001707301427157,1,15,15,0,0,True,True
depolarizing,2,16,0.2,16,4,4.0,0.009413284561262059,0.009413284561262059,0.009413284561262059,1,15,15,0,0,True,True
depolarizing,2,16,0.3,16,4,4.0,0.0178711445677599,0.0178711445677599,0.0178711445677599,1,15,15,0,0,True,True
depolarizing,2,32,0.01,32,5,6.4,0.0001593209495643899,0.0001593209495643899,0.0001593209495643899,1,31,31,0,0,True,True
depolarizing,2,32,0.1,32,5,6.4,0.00191455399727819,0.00191455399727819,0.00191455399727819,1,31,31,0,0,True,True
depolarizing,2,32,0.2,32,5,6.4,0.004795665261973114,0.004795665261973114,0.004795665261973114,1,31,31,0,0,True,True
depolarizing,2,32,0.3,32,5,6.4,0.00925775107555743,0.00925775107555743,0.00925775107555743,1,31,31,0,0,True,True
depolarizing,2,64,0.01,64,6,10.666666666666666,7.968585996892541e-05,7.968585996892541e-05,7.968585996892541e-05,1,63,63,0,0,True,True
depolarizing,2,64,0.1,64,6,10.666666666666666,0.0009609460178189866,0.0009609460178189866,0.0009609460178189866,1,63,63,0,0,True,True
depolarizing,2,64,0.2,64,6,10.666666666666666,0.0024208859156122364,0.0024208859156122364,0.0024208859156122364,1,63,63,0,0,True,True
depolarizing,2,64,0.3,64,6,10.666666666666666,0.004714974473884026,0.004714974473884026,0.004714974473884026,1,63,63,0,0,True,True
depolarizing,2,128,0.01,128,7,18.285714285714285,3.984928007372268e-05,3.984928007372268e-05,3.984928007372268e-05,1,127,127,0,0,True,True
depolarizing,2,128,0.1,128,7,18.285714285714285,0.00048139686940856796,0.00048139686940856796,0.00048139686940856796,1,127,127,0,0,True,True
depolarizing,2,128,0.2,128,7,18.285714285714285,0.001216310723194669,0.001216310723194669,0.001216310723194669,1,127,127,0,0,True,True
depolarizing,2,128,0.3,128,7,18.285714285714285,0.0023797703810490844,0.0023797703810490844,0.0023797703810490844,1,127,127,0,0,True,True
depolarizing,2,256,0.01,256,8,32.0,1.992622803359545e-05,1.992622803359545e-05,1.992622803359545e-05,1,255,255,0,0,True,True
depolarizing,2,256,0.1,256,8,32.0,0.00024093023340343578,0.00024093023340343578,0.00024093023340343578,1,255,255,0,0,True,True
depolarizing,2,256,0.2,256,8,32.0,0.000609635671987907,0.000609635671987907,0.000609635671987907,1,255,255,0,0,True,True
depolarizing,2,256,0.3,256,8,32.0,0.0011955552201633468,0.0011955552201633468,0.0011955552201633468,1,255,255,0,0,True,True
depolarizing,3,8,0.01,8,3,2.6666666666666665,0.0008481009099639003,0.0008481009099639003,0.0008481009099639003,1,7,7,0,0,True,True
depolarizing,3,8,0.1,8,3,2.6666666666666665,0.00999514756656709,0.00999514756656709,0.00999514756656709,1,7,7,0,0,True,True
depolarizing,3,8,0.2,8,3,2.6666666666666665,0.02433122376564441,0.02433122376564441,0.02433122376564441,1,7,7,0,0,True,True
depolarizing,3,8,0.3,8,3,2.6666666666666665,0.04512840107854199,0.04512840107854199,0.04512840107854199,1,7,7,0,0,True,True
depolarizing,3,16,0.01,16,4,4.0,0.00042459014000647183,0.00042459014000647183,0.00042459014000647183,1,15,15,0,0,True,True
depolarizing,3,16,0.1,16,4,4.0,0.00507287355035609,0.00507287355035609,0.00507287355035609,1,15,15,0,0,True,True
depolarizing,3,16,0.2,16,4,4.0,0.012614950049995688,0.012614950049995688,0.012614950049995688,1,15,15,0,0,True,True
depolarizing,3,16,0.3,16,4,4.0,0.024125227024569096,0.024125227024569096,0.024125227024569096,1,15,15,0,0,True,True
depolarizing,3,32,0.01,32,5,6.4,0.0002124303062912928,0.0002124303062912928,0.0002124303062912928,1,31,31,0,0,True,True
depolarizing,3,32,0.1,32,5,6.4,0.0025557861385566336,0.0025557861385566336,0.0025557861385566336,1,31,31,0,0,True,True
depolarizing,3,32,0.2,32,5,6.4,0.0064275756634645615,0.0064275756634645615,0.0064275756634645615,1,31,31,0,0,True,True
depolarizing,3,32,0.3,32,5,6.4,0.01250433160580148,0.01250433160580148,0.01250433160580148,1,31,31,0,0,True,True
depolarizing,3,64,0.01,64,6,10.666666666666666,0.00010624900171629648,0.00010624900171629648,0.00010624900171629648,1,63,63,0,0,True,True
depolarizing,3,64,0.1,64,6,10.666666666666666,0.0012827983537557024,0.0012827983537557024,0.0012827983537557024,1,63,63,0,0,True,True
depolarizing,3,64,0.2,64,6,10.666666666666666,0.003244872383388738,0.003244872383388738,0.003244872383388738,1,63,63,0,0,True,True
depolarizing,3,64,0.3,64,6,10.666666666666666,0.0063701629895981755,0.0063701629895981755,0.0063701629895981755,1,63,63,0,0,True,True
depolarizing,3,128,0.01,128,7,18.285714285714285,5.313296794562383e-05,5.313296794562383e-05,5.313296794562383e-05,1,127,127,0,0,True,True
depolarizing,3,128,0.1,128,7,18.285714285714285,0.0006426341466819382,0.0006426341466819382,0.0006426341466819382,1,127,127,0,0,True,True
depolarizing,3,128,0.2,128,7,18.285714285714285,0.0016303458805392672,0.0016303458805392672,0.0016303458805392672,1,127,127,0,0,True,True
depolarizing,3,128,0.3,128,7,18.285714285714285,0.0032156123490087265,0.0032156123490087265,0.0032156123490087265,1,127,127,0,0,True,True
depolarizing,3,256,0.01,256,8,32.0,2.6568601363334093e-05,2.6568601363334093e-05,2.6568601363334093e-05,1,255,255,0,0,True,True
depolarizing,3,256,0.1,256,8,32.0,0.0003216269068166966,0.0003216269068166966,0.0003216269068166966,1,255,255,0,0,True,True
depolarizing,3,256,0.2,256,8,32.0,0.0008171680847712803,0.0008171680847712803,0.0008171680847712803,1,255,255,0,0,True,True
depolarizing,3,256,0.3,256,8,32.0,0.001615573745112971,0.001615573745112971,0.001615573745112971,1,255,255,0,0,True,True
depolarizing,4,8,0.01,8,3,2.6666666666666665,0.000954118775006868,0.000954118775006868,0.000954118775006868,1,7,7,0,0,True,True
depolarizing,4,8,0.1,8,3,2.6666666666666665,0.011251116871142247,0.011251116871142247,0.011251116871142247,1,7,7,0,0,True,True
depolarizing,4,8,0.2,8,3,2.6666666666666665,0.02744141368794928,0.02744141368794928,0.02744141368794928,1,7,7,0,0,True,True
depolarizing,4,8,0.3,8,3,2.6666666666666665,0.05107758374305879,0.05107758374305879,0.05107758374305879,1,7,7,0,0,True,True
depolarizing,4,16,0.01,16,4,4.0,0.0004776665720273854,0.0004776665720273854,0.0004776665720273854,1,15,15,0,0,True,True
depolarizing,4,16,0.1,16,4,4.0,0.005710423099096612,0.005710423099096612,0.005710423099096612,1,15,15,0,0,True,True
depolarizing,4,16,0.2,16,4,4.0,0.014229547409941368,0.014229547409941368,0.014229547409941368,1,15,15,0,0,True,True
depolarizing,4,16,0.3,16,4,4.0,0.02732161389128182,0.02732161389128182,0.02732161389128182,1,15,15,0,0,True,True
depolarizing,4,32,0.01,32,5,6.4,0.00023898543257283578,0.00023898543257283578,0.00023898543257283578,1,31,31,0,0,True,True
depolarizing,4,32,0.1,32,5,6.4,0.002877012787612765,0.002877012787612765,0.002877012787612765,1,31,31,0,0,True,True
depolarizing,4,32,0.2,32,5,6.4,0.007250716032341786,0.007250716032341786,0.007250716032341786,1,31,31,0,0,True,True
depolarizing,4,32,0.3,32,5,6.4,0.014165185167032412,0.014165185167032412,0.014165185167032412,1,31,31,0,0,True,True
depolarizing,4,64,0.01,64,6,10.666666666666666,0.00011953079686052859,0.00011953079686052859,0.00011953079686052859,1,63,63,0,0,True,True
depolarizing,4,64,0.1,64,6,10.666666666666666,0.0014440324590539455,0.0014440324590539455,0.0014440324590539455,1,63,63,0,0,True,True
depolarizing,4,64,0.2,64,6,10.666666666666666,0.003660533354688411,0.003660533354688411,0.003660533354688411,1,63,63,0,0,True,True
depolarizing,4,64,0.3,64,6,10.666666666666666,0.007217303658169111,0.007217303658169111,0.007217303658169111,1,63,63,0,0,True,True
depolarizing,4,128,0.01,128,7,18.285714285714285,5.9774924073829894e-05,5.9774924073829894e-05,5.9774924073829894e-05,1,127,127,0,0,True,True
depolarizing,4,128,0.1,128,7,18.285714285714285,0.000723407385916891,0.000723407385916891,0.000723407385916891,1,127,127,0,0,True,True
depolarizing,4,128,0.2,128,7,18.285714285714285,0.001839216009912964,0.001839216009912964,0.001839216009912964,1,127,127,0,0,True,True
depolarizing,4,128,0.3,128,7,18.285714285714285,0.003643503150949773,0.003643503150949773,0.003643503150949773,1,127,127,0,0,True,True
depolarizing,4,256,0.01,256,8,32.0,2.988984413584972e-05,2.988984413584972e-05,2.988984413584972e-05,1,255,255,0,0,True,True
depolarizing,4,256,0.1,256,8,32.0,0.0003620526979493943,0.0003620526979493943,0.0003620526979493943,1,255,255,0,0,True,True
depolarizing,4,256,0.2,256,8,32.0,0.0009218652212135137,0.0009218652212135137,0.0009218652212135137,1,255,255,0,0,True,True
depolarizing,4,256,0.3,256,8,32.0,0.0018306177551279668,0.0018306177551279668,0.0018306177551279668,1,255,255,0,0,True,True
symmetric_pauli,2,8,0.01,8,3,2.6666666666666665,0.008865459994826722,0.00886545999482652,0.00886545999482652,1,7,7,0,0,True,True
symmetric_pauli,2,8,0.1,8,3,2.6666666666666665,0.1530985222863811,0.15309852228638107,0.15309852228638107,1,7,7,0,0,True,False
symmetric_pauli,2,8,0.2,8,3,2.6666666666666665,0.4083921167959674,0.40839211679596754,0.40839211679596754,1,7,7,0,0,False,False
symmetric_pauli,2,8,0.3,8,3,2.6666666666666665,0.5507027039679605,0.5507027039679606,0.5507027039679606,1,7,7,0,0,False,False
symmetric_pauli,2,16,0.01,16,4,4.0,0.007946351197785747,0.00794635119778583,0.00794635119778583,1,15,15,0,0,True,True
symmetric_pauli,2,16,0.1,16,4,4.0,0.142251528748259,0.14225152874825905,0.14225152874825905,1,15,15,0,0,True,False
symmetric_pauli,2,16,0.2,16,4,4.0,0.41096361311815544,0.4109636131181555,0.4109636131181555,1,15,15,0,0,False,False
symmetric_pauli,2,16,0.3,16,4,4.0,0.5405121724980627,0.5405121724980627,0.5405121724980627,1,15,15,0,0,False,False
symmetric_pauli,2,32,0.01,32,5,6.4,0.0074654919858607805,0.007465491985860876,0.007465491985860876,1,31,31,0,0,True,True
symmetric_pauli,2,32,0.1,32,5,6.4,0.13356859018190148,0.13356859018190148,0.13356859018190148,1,31,31,0,0,True,False
symmetric_pauli,2,32,0.2,32,5,6.4,0.4134342647104269,0.41343426471042694,0.41343426471042694,1,31,31,0,0,False,False
symmetric_pauli,2,32,0.3,32,5,6.4,0.5323842259210183,0.5323842259210185,0.5323842259210185,1,31,31,0,0,True,False
symmetric_pauli,2,64,0.01,64,6,10.666666666666666,0.007214585445694243,0.007214585445694229,0.007214585445694229,1,63,63,0,0,True,True
symmetric_pauli,2,64,0.1,64,6,10.666666666666666,0.12675829630077032,0.1267582963007705,0.1267582963007705,1,63,63,0,0,True,False
symmetric_pauli,2,64,0.2,64,6,10.666666666666666,0.41581031637829635,0.4158103163782963,0.4158103163782963,1,63,63,0,0,False,False
symmetric_pauli,2,64,0.3,64,6,10.666666666666666,0.5258943456712551,0.5258943456712551,0.5258943456712551,1,63,63,0,0,True,False
symmetric_pauli,2,128,0.01,128,7,18.285714285714285,0.007083847849738791,0.007083847849738806,0.007083847849738806,1,127,127,0,0,True,True
symmetric_pauli,2,128,0.1,128,7,18.285714285714285,0.12150455322775613,0.12150455322775618,0.12150455322775618,1,127,127,0,0,True,False
symmetric_pauli,2,128,0.2,128,7,18.285714285714285,0.41809745064932025,0.41809745064932025,0.41809745064932025,1,127,127,0,0,False,False
symmetric_pauli,2,128,0.3,128,7,18.285714285714285,0.5207088114427765,0.5207088114427764,0.5207088114427764,1,127,127,0,0,True,False
symmetric_pauli,2,256,0.01,256,8,32.0,0.007015775147674894,0.007015775147674894,0.007015775147674894,1,255,255,0,0,True,True
symmetric_pauli,2,256,0.1,256,8,32.0,0.11750450903662928,0.11750450903662939,0.11750450903662939,1,255,255,0,0,True,False
symmetric_pauli,2,256,0.2,256,8,32.0,0.4203008525677279,0.420300852567728,0.420300852567728,1,255,255,0,0,False,False
symmetric_pauli,2,256,0.3,256,8,32.0,0.5165636395234221,0.5165636395234224,0.5165636395234224,1,255,255,0,0,True,False
pure_dephasing,2,8,0.01,8,3,2.6666666666666665,0.017977351885495138,0.018840549599688686,0.018840549599688686,1,7,7,0,0,False,False
pure_dephasing,2,8,0.1,8,3,2.6666666666666665,0.20983129170039827,0.18607509112619813,0.18607509112619813,1,7,7,0,0,False,False
pure_dephasing,2,8,0.2,8,3,2.6666666666666665,0.19698807601379748,0.2676672746840068,0.2676672746840068,1,7,7,0,0,False,False
pure_dephasing,2,8,0.3,8,3,2.6666666666666665,0.4710768969305757,0.3231130589979729,0.3231130589979729,1,7,7,0,0,False,False
pure_dephasing,2,16,0.01,16,4,4.0,0.016087342418563588,0.014551867028686298,0.014551867028686298,1,15,15,0,0,False,False
pure_dephasing,2,16,0.1,16,4,4.0,0.25275947314446456,0.16737243918390338,0.16737243918390338,1,15,15,0,0,False,False
pure_dephasing,2,16,0.2,16,4,4.0,0.2726482213593882,0.22885646028380485,0.22885646028380485,1,15,15,0,0,False,False
pure_dephasing,2,16,0.3,16,4,4.0,0.378442578727929,0.24948103361682042,0.24948103361682042,1,15,15,0,0,False,True
pure_dephasing,2,32,0.01,32,5,6.4,0.02824672549947976,0.024431255229294787,0.024431255229294787,1,31,31,0,0,False,False
pure_dephasing,2,32,0.1,32,5,6.4,0.17759579973227826,0.290080182599992,0.290080182599992,1,31,31,0,0,False,False
pure_dephasing,2,32,0.2,32,5,6.4,0.30011670964116083,0.4269755225713259,0.4269755225713259,1,31,31,0,0,False,False
pure_dephasing,2,32,0.3,32,5,6.4,0.1369741276657628,0.5317925683847066,0.5317925683847066,1,31,31,0,0,False,False
pure_dephasing,2,64,0.01,64,6,10.666666666666666,0.03216219032812466,0.022216701599135837,0.022216701599135837,1,63,63,0,0,False,False
pure_dephasing,2,64,0.1,64,6,10.666666666666666,0.3117755374029267,0.11967980934744783,0.11967980934744783,1,63,63,0,0,False,False
pure_dephasing,2,64,0.2,64,6,10.666666666666666,0.2693412908854147,0.5004570994576694,0.5004570994576694,1,63,63,0,0,False,False
pure_dephasing,2,64,0.3,64,6,10.666666666666666,0.5659559602674185,0.564410734559218,0.564410734559218,1,63,63,0,0,False,False
pure_dephasing,2,128,0.01,128,7,18.285714285714285,0.04040760383505975,0.031797403986327154,0.031797403986327154,1,127,127,0,0,False,False
pure_dephasing,2,128,0.1,128,7,18.285714285714285,0.29357133879170416,0.36657381414745305,0.36657381414745305,1,127,127,0,0,False,False
