schedule,event_index,noise_rounds_completed,operation,purification_round_in_block,purification_rounds_completed,M,initial_state,noise_type,dephasing_probability_p,total_noise_rounds_T,clifford_twirling,purification_depth_budget,input_copies,pairwise_merges,fidelity,infidelity,purity,trace_distance
no_purification,0,0,initial,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
no_purification,1,1,noise,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.6999999999999998,0.30000000000000016,0.5799999999999997,0.29999999999999993
no_purification,2,2,noise,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.5799999999999998,0.42000000000000015,0.5127999999999998,0.4199999999999999
no_purification,3,3,noise,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.5319999999999998,0.4680000000000002,0.5020479999999998,0.46799999999999986
no_purification,4,4,noise,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.5127999999999998,0.4872000000000002,0.5003276799999998,0.4871999999999999
no_purification,5,5,noise,0,0,1,plus,dephase_z,0.3,5,False,0,1,0,0.5051199999999998,0.4948800000000002,0.5000524287999998,0.4948799999999999
end_only_matched,0,0,initial,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
end_only_matched,1,1,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.6999999999999998,0.30000000000000016,0.5799999999999997,0.29999999999999993
end_only_matched,2,2,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.5799999999999998,0.42000000000000015,0.5127999999999998,0.4199999999999999
end_only_matched,3,3,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.5319999999999998,0.4680000000000002,0.5020479999999998,0.46799999999999986
end_only_matched,4,4,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.5127999999999998,0.4872000000000002,0.5003276799999998,0.4871999999999999
end_only_matched,5,5,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.5051199999999998,0.4948800000000002,0.5000524287999998,0.4948799999999999
end_only_matched,6,5,purification,1,1,1,plus,dephase_z,0.3,5,False,5,32,31,0.5102389263707541,0.4897610736292459,0.5002096712264514,0.4897610736292457
end_only_matched,7,5,purification,2,2,1,plus,dephase_z,0.3,5,False,5,32,31,0.5204692691079914,0.4795307308920086,0.5008379819556308,0.47953073089200837
end_only_matched,8,5,purification,3,3,1,plus,dephase_z,0.3,5,False,5,32,31,0.5408700415013749,0.45912995849862515,0.5033407205846482,0.4591299584986249
end_only_matched,9,5,purification,4,4,1,plus,dephase_z,0.3,5,False,5,32,31,0.5811975662408218,0.41880243375917825,0.5131860895268653,0.4188024337591781
end_only_matched,10,5,purification,5,5,1,plus,dephase_z,0.3,5,False,5,32,31,0.6582224613992993,0.3417775386007007,0.5500686945825055,0.3417775386007006
interleaved_matched,0,0,initial,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
interleaved_matched,1,1,noise,0,0,1,plus,dephase_z,0.3,5,False,5,32,31,0.6999999999999998,0.30000000000000016,0.5799999999999997,0.29999999999999993
interleaved_matched,2,1,purification,1,1,1,plus,dephase_z,0.3,5,False,5,32,31,0.8448275862068965,0.15517241379310354,0.7378121284185494,0.15517241379310331
interleaved_matched,3,2,noise,0,1,1,plus,dephase_z,0.3,5,False,5,32,31,0.6379310344827586,0.36206896551724144,0.538049940546968,0.3620689655172412
interleaved_matched,4,2,purification,1,2,1,plus,dephase_z,0.3,5,False,5,32,31,0.7563535911602209,0.24364640883977906,0.6314343274014835,0.24364640883977884
interleaved_matched,5,3,noise,0,2,1,plus,dephase_z,0.3,5,False,5,32,31,0.6025414364640883,0.3974585635359117,0.5210294923842373,0.39745856353591147
interleaved_matched,6,3,purification,1,3,1,plus,dephase_z,0.3,5,False,5,32,31,0.6968054360893421,0.3031945639106579,0.5774647593486323,0.3031945639106577
interleaved_matched,7,4,noise,0,3,1,plus,dephase_z,0.3,5,False,5,32,31,0.5787221744357368,0.4212778255642632,0.5123943614957812,0.421277825564263
interleaved_matched,8,4,purification,1,4,1,plus,dephase_z,0.3,5,False,5,32,31,0.6536359108361988,0.34636408916380124,0.5472079861969369,0.346364089163801
interleaved_matched,9,5,noise,0,4,1,plus,dephase_z,0.3,5,False,5,32,31,0.5614543643344795,0.4385456356655205,0.5075532777915099,0.43854563566552035
interleaved_matched,10,5,purification,1,5,1,plus,dephase_z,0.3,5,False,5,32,31,0.6210796324710632,0.37892036752893676,0.5293205547986556,0.37892036752893654
