run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M4_N8_depolarizing_iid_p_d0.80000,4,8,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.1140656249999998,0.8703999999999998,0.887873217563141,1.0200749282664765,3
M4_N8_depolarizing_iid_p_d0.90000,4,8,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0844504313383236,0.9084937499999992,0.917202364604942,1.0095857727198925,3
M4_N8_depolarizing_iid_p_d0.95000,4,8,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0726386708992162,0.9240308593749996,0.928879927311182,1.005247733760171,3
M4_N8_depolarizing_iid_p_d0.99000,4,8,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0644044366709869,0.934962249375,0.9370128330586877,1.0021932261811195,3
M4_N16_depolarizing_iid_p_d0.01000,4,16,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.9752702939808792,0.0198504993749994,0.0249245240895684,1.255611942990181,4
M4_N16_depolarizing_iid_p_d0.10000,4,16,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7756502083260387,0.1854937499999995,0.2259698516041637,1.218207360647808,4
M4_N16_depolarizing_iid_p_d0.50000,4,16,depolarizing,iid_p,0.5,0.375,0.31640625,0.2603082049146187,0.6835937499999998,0.7428916626028134,1.0867443750075445,4
M4_N16_depolarizing_iid_p_d0.70000,4,16,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1460376750221979,0.8214937499999997,0.8566571087938979,1.042804170809453,4
M4_N16_depolarizing_iid_p_d0.80000,4,16,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.1093128906249998,0.8703999999999998,0.893085199534055,1.0260629590235009,4
M4_N16_depolarizing_iid_p_d0.90000,4,16,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0822215343235291,0.9084937499999992,0.9199083109346108,1.0125642701830493,4
M4_N16_depolarizing_iid_p_d0.95000,4,16,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0715612823378695,0.9240308593749996,0.9304537359432254,1.006950932972704,4
M4_N16_depolarizing_iid_p_d0.99000,4,16,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0641947054374608,0.934962249375,0.937740063705348,1.0029710443734012,4
M4_N32_depolarizing_iid_p_d0.01000,4,32,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.97374975865316,0.0198504993749994,0.0266116673812162,1.3406044290619743,5
M4_N32_depolarizing_iid_p_d0.10000,4,32,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7638602465597377,0.1854937499999995,0.2391240090109203,1.2891216497101436,5
M4_N32_depolarizing_iid_p_d0.50000,4,32,depolarizing,iid_p,0.5,0.375,0.31640625,0.2457793748728724,0.6835937499999998,0.759792890870133,1.1114684575014522,5
M4_N32_depolarizing_iid_p_d0.70000,4,32,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1384332870461049,0.8214937499999997,0.866091217434125,1.0542882613947158,5
M4_N32_depolarizing_iid_p_d0.80000,4,32,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.1048075104553901,0.8703999999999998,0.8991528283092038,1.0330340398773024,5
M4_N32_depolarizing_iid_p_d0.90000,4,32,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0802664589454886,0.9084937499999992,0.9232031630633024,1.0161909898260757,5
M4_N32_depolarizing_iid_p_d0.95000,4,32,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0706570197752204,0.9240308593749996,0.9326074079250636,1.009281668964893,5
M4_N32_depolarizing_iid_p_d0.99000,4,32,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.064025248234382,0.934962249375,0.9390971808767364,1.0044225651939431,5
