run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M2_N2_depolarizing_iid_p_p0.01000,2,2,dephase_z,iid_p,0.01,0.01,0.9867111111,0.9932225314,1.33E-02,0.00677746863,0.9736865264,0.986513812,0.5100101812,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.10000,2,2,dephase_z,iid_p,0.1,0.1,0.8711111111,0.9226468681,1.29E-01,0.07735313192,0.7665975309,0.8540831037,0.6001536097,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.20000,2,2,dephase_z,iid_p,0.2,0.2,0.7511111111,0.8266007895,2.49E-01,0.1733992105,0.5911901235,0.6965247,0.6966932563,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.30000,2,2,dephase_z,iid_p,0.3,0.3,0.64,0.7177242888,3.60E-01,0.2822757112,0.4624,0.5481520141,0.7840991977,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.40000,2,2,dephase_z,iid_p,0.4,0.4,0.5377777778,0.6033086434,4.62E-01,0.3966913566,0.370745679,0.4252519784,0.8582264926,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.50000,2,2,dephase_z,iid_p,0.5,0.5,0.4444444444,0.4905660377,5.56E-01,0.5094339623,0.3086419753,0.3357066572,0.9169811321,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.60000,2,2,dephase_z,iid_p,0.6,0.6,0.36,0.3853904282,6.40E-01,0.6146095718,0.2704,0.2796223566,0.9603274559,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.70000,2,2,dephase_z,iid_p,0.7,0.7,0.2844444444,0.2917626274,7.16E-01,0.7082373726,0.2522271605,0.2532106792,0.9897727257,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.75000,2,2,dephase_z,iid_p,0.75,0.75,0.25,0.25,7.50E-01,0.75,0.25,0.25,1,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.80000,2,2,dephase_z,iid_p,0.8,0.8,0.2177777778,0.2117866044,7.82E-01,0.7882133956,0.2522271605,0.2532106792,1.00765917,1,TRUE,,
M2_N2_depolarizing_iid_p_p0.90000,2,2,dephase_z,iid_p,0.9,0.9,0.16,0.1460957179,8.40E-01,0.8539042821,0.2704,0.2796223566,1.016552717,1,TRUE,,
M2_N4_depolarizing_iid_p_p0.01000,2,4,dephase_z,iid_p,0.01,0.01,0.9867111111,0.996571258,1.33E-02,0.003428741999,0.9736865264,0.9931601305,0.2580157023,2,TRUE,,
M2_N4_depolarizing_iid_p_p0.10000,2,4,dephase_z,iid_p,0.1,0.1,0.8711111111,0.9562636721,1.29E-01,0.04373632791,0.7665975309,0.9153599827,0.3393335786,2,TRUE,,
