noise_type,dimension,N,physical_error_rate,iterations,logical_errors,fidelities,purities,total_swap_operations,total_amplification_iterations,memory_levels_used,final_error_reduction_ratio,convergence_achieved,noise_model_name
depolarizing,2,8,0.1,"[0, 1, 2, 3]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011]",7,0,3,0.14975581621098913,True,Depolarizing_d2_delta0.100
depolarizing,2,8,0.2,"[0, 1, 2, 3]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454]",7,0,3,0.181610448520273,True,Depolarizing_d2_delta0.200
depolarizing,2,8,0.5,"[0, 1, 2, 3]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534]",7,0,3,0.3492680113170932,True,Depolarizing_d2_delta0.500
depolarizing,2,8,0.7,"[0, 1, 2, 3]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938]",7,0,3,0.559878442271866,True,Depolarizing_d2_delta0.700
depolarizing,2,8,0.8,"[0, 1, 2, 3]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534]",7,0,3,0.6999648847047808,True,Depolarizing_d2_delta0.800
depolarizing,2,8,0.9,"[0, 1, 2, 3]","[0.45, 0.4335548172757475, 0.4119248874372264, 0.3837686931851726]","[0.55, 0.5664451827242525, 0.5880751125627737, 0.6162313068148274]","[0.09999999999999998, 0.13289036544850497, 0.17615022512554723, 0.2324626136296548]",7,0,3,0.8528193181892724,True,Depolarizing_d2_delta0.900
depolarizing,2,8,0.95,"[0, 1, 2, 3]","[0.475, 0.4666944213155703, 0.4556581440431899, 0.44103211561154715]","[0.525, 0.5333055786844296, 0.5443418559568101, 0.5589678843884529]","[0.050000000000000044, 0.06661115736885935, 0.08868371191362022, 0.11793576877690573]",7,0,3,0.9284886644453625,True,Depolarizing_d2_delta0.950
depolarizing,2,16,0.1,"[0, 1, 2, 3, 4]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146]",15,0,4,0.07600341460285433,True,Depolarizing_d2_delta0.100
depolarizing,2,16,0.2,"[0, 1, 2, 3, 4]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759]",15,0,4,0.09413284561262061,True,Depolarizing_d2_delta0.200
depolarizing,2,16,0.5,"[0, 1, 2, 3, 4]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709]",15,0,4,0.2063251401692583,True,Depolarizing_d2_delta0.500
depolarizing,2,16,0.7,"[0, 1, 2, 3, 4]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391]",15,0,4,0.3974106826948013,True,Depolarizing_d2_delta0.700
depolarizing,2,16,0.8,"[0, 1, 2, 3, 4]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893]",15,0,4,0.5610835953722634,True,Depolarizing_d2_delta0.800
depolarizing,2,16,0.9,"[0, 1, 2, 3, 4]","[0.45, 0.4335548172757475, 0.4119248874372264, 0.3837686931851726, 0.34776708891191377]","[0.55, 0.5664451827242525, 0.5880751125627737, 0.6162313068148274, 0.6522329110880862]","[0.09999999999999998, 0.13289036544850497, 0.17615022512554723, 0.2324626136296548, 0.30446582217617246]",15,0,4,0.7728157531375861,True,Depolarizing_d2_delta0.900
depolarizing,2,16,0.95,"[0, 1, 2, 3, 4]","[0.475, 0.4666944213155703, 0.4556581440431899, 0.44103211561154715, 0.4217389942295285]","[0.525, 0.5333055786844296, 0.5443418559568101, 0.5589678843884529, 0.5782610057704715]","[0.050000000000000044, 0.06661115736885935, 0.08868371191362022, 0.11793576877690573, 0.156522011540943]",15,0,4,0.8878715667990074,True,Depolarizing_d2_delta0.950
depolarizing,2,32,0.1,"[0, 1, 2, 3, 4, 5]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157, 0.00191455399727819]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573, 0.9980854460027218]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146, 0.9961708920054436]",31,0,5,0.038291079945563807,True,Depolarizing_d2_delta0.100
depolarizing,2,32,0.2,"[0, 1, 2, 3, 4, 5]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738, 0.9952043347380268]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538]",31,0,5,0.04795665261973116,True,Depolarizing_d2_delta0.200
depolarizing,2,32,0.5,"[0, 1, 2, 3, 4, 5]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855, 0.9714840226762151]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304]",31,0,5,0.11406390929513921,True,Depolarizing_d2_delta0.500
depolarizing,2,32,0.7,"[0, 1, 2, 3, 4, 5]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196, 0.9100027220074431]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863]",31,0,5,0.2571350799787339,True,Depolarizing_d2_delta0.700
depolarizing,2,32,0.8,"[0, 1, 2, 3, 4, 5]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537, 0.16635883220815212]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946, 0.8336411677918478]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893, 0.6672823355836958]",31,0,5,0.41589708052038027,True,Depolarizing_d2_delta0.800
depolarizing,2,32,0.9,"[0, 1, 2, 3, 4, 5]","[0.45, 0.4335548172757475, 0.4119248874372264, 0.3837686931851726, 0.34776708891191377, 0.30310674969180035]","[0.55, 0.5664451827242525, 0.5880751125627737, 0.6162313068148274, 0.6522329110880862, 0.6968932503081997]","[0.09999999999999998, 0.13289036544850497, 0.17615022512554723, 0.2324626136296548, 0.30446582217617246, 0.3937865006163993]",31,0,5,0.6735705548706674,True,Depolarizing_d2_delta0.900
depolarizing,2,32,0.95,"[0, 1, 2, 3, 4, 5]","[0.475, 0.4666944213155703, 0.4556581440431899, 0.44103211561154715, 0.4217389942295285, 0.39649723521764185]","[0.525, 0.5333055786844296, 0.5443418559568101, 0.5589678843884529, 0.5782610057704715, 0.6035027647823582]","[0.050000000000000044, 0.06661115736885935, 0.08868371191362022, 0.11793576877690573, 0.156522011540943, 0.20700552956471632]",31,0,5,0.834731021510825,True,Depolarizing_d2_delta0.950
depolarizing,2,64,0.1,"[0, 1, 2, 3, 4, 5, 6]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157, 0.00191455399727819, 0.0009609460178189866]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573, 0.9980854460027218, 0.999039053982181]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146, 0.9961708920054436, 0.998078107964362]",63,0,6,0.019218920356379735,True,Depolarizing_d2_delta0.100
depolarizing,2,64,0.2,"[0, 1, 2, 3, 4, 5, 6]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114, 0.0024208859156122364]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738, 0.9952043347380268, 0.9975791140843877]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538, 0.9951582281687755]",63,0,6,0.02420885915612237,True,Depolarizing_d2_delta0.200
depolarizing,2,64,0.5,"[0, 1, 2, 3, 4, 5, 6]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802, 0.015082393932659255]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855, 0.9714840226762151, 0.9849176060673408]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304, 0.9698352121346815]",63,0,6,0.06032957573063702,True,Depolarizing_d2_delta0.500
depolarizing,2,64,0.7,"[0, 1, 2, 3, 4, 5, 6]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686, 0.053423673646459835]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196, 0.9100027220074431, 0.9465763263535402]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863, 0.8931526527070803]",63,0,6,0.15263906756131382,True,Depolarizing_d2_delta0.700
depolarizing,2,64,0.8,"[0, 1, 2, 3, 4, 5, 6]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537, 0.16635883220815212, 0.11263810068147184]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946, 0.8336411677918478, 0.8873618993185282]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893, 0.6672823355836958, 0.7747237986370563]",63,0,6,0.2815952517036796,True,Depolarizing_d2_delta0.800
depolarizing,2,64,0.9,"[0, 1, 2, 3, 4, 5, 6]","[0.45, 0.4335548172757475, 0.4119248874372264, 0.3837686931851726, 0.34776708891191377, 0.30310674969180035, 0.2503784231771741]","[0.55, 0.5664451827242525, 0.5880751125627737, 0.6162313068148274, 0.6522329110880862, 0.6968932503081997, 0.7496215768228258]","[0.09999999999999998, 0.13289036544850497, 0.17615022512554723, 0.2324626136296548, 0.30446582217617246, 0.3937865006163993, 0.49924315364565175]",63,0,6,0.5563964959492759,True,Depolarizing_d2_delta0.900
depolarizing,2,64,0.95,"[0, 1, 2, 3, 4, 5, 6]","[0.475, 0.4666944213155703, 0.4556581440431899, 0.44103211561154715, 0.4217389942295285, 0.39649723521764185, 0.3639397657751765]","[0.525, 0.5333055786844296, 0.5443418559568101, 0.5589678843884529, 0.5782610057704715, 0.6035027647823582, 0.6360602342248236]","[0.050000000000000044, 0.06661115736885935, 0.08868371191362022, 0.11793576877690573, 0.156522011540943, 0.20700552956471632, 0.27212046844964705]",63,0,6,0.766188980579319,True,Depolarizing_d2_delta0.950
depolarizing,2,128,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157, 0.00191455399727819, 0.0009609460178189866, 0.00048139686940856796]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573, 0.9980854460027218, 0.999039053982181, 0.9995186031305914]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146, 0.9961708920054436, 0.998078107964362, 0.9990372062611829]",127,0,7,0.009627937388171361,True,Depolarizing_d2_delta0.100
depolarizing,2,128,0.2,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114, 0.0024208859156122364, 0.001216310723194669]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738, 0.9952043347380268, 0.9975791140843877, 0.9987836892768054]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538, 0.9951582281687755, 0.9975673785536107]",127,0,7,0.012163107231946694,True,Depolarizing_d2_delta0.200
depolarizing,2,128,0.5,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802, 0.015082393932659255, 0.007770364374534877]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855, 0.9714840226762151, 0.9849176060673408, 0.9922296356254652]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304, 0.9698352121346815, 0.9844592712509302]",127,0,7,0.03108145749813951,True,Depolarizing_d2_delta0.500
depolarizing,2,128,0.7,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686, 0.053423673646459835, 0.029637644659280205]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196, 0.9100027220074431, 0.9465763263535402, 0.9703623553407198]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863, 0.8931526527070803, 0.9407247106814396]",127,0,7,0.08467898474080059,True,Depolarizing_d2_delta0.700
depolarizing,2,128,0.8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537, 0.16635883220815212, 0.11263810068147184, 0.06962143663455533]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946, 0.8336411677918478, 0.8873618993185282, 0.9303785633654447]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893, 0.6672823355836958, 0.7747237986370563, 0.8607571267308893]",127,0,7,0.17405359158638833,True,Depolarizing_d2_delta0.800
