run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000_twirl,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,0.9966220751,0.006666666667,0.003377924925,0.9867555556,0.9932669709,0.5066887388,1,FALSE,1,1,0.9866666667,0.9932441501
M1_N2_dephase_z_iid_p_p0.10000_twirl,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9620853081,0.06666666667,0.03791469194,0.8755555556,0.9270456638,0.5687203791,1,FALSE,1,1,0.8666666667,0.9241706161
M1_N2_dephase_z_iid_p_p0.20000_twirl,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,0.9145728643,0.1333333333,0.08542713568,0.7688888889,0.8437413197,0.6407035176,1,FALSE,1,1,0.7333333333,0.8291457286
M1_N2_dephase_z_iid_p_p0.30000_twirl,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.8571428571,0.2,0.1428571429,0.68,0.7551020408,0.7142857143,1,FALSE,1,1,0.6,0.7142857143
M1_N2_dephase_z_iid_p_p0.40000_twirl,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.7900552486,0.2666666667,0.2099447514,0.6088888889,0.6682640945,0.7872928177,1,FALSE,1,1,0.4666666667,0.5801104972
M1_N2_dephase_z_iid_p_p0.50000_twirl,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.7142857143,0.3333333333,0.2857142857,0.5555555556,0.5918367347,0.8571428571,1,FALSE,1,1,0.3333333333,0.4285714286
M1_N2_dephase_z_iid_p_p0.60000_twirl,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.6315789474,0.4,0.3684210526,0.52,0.5346260388,0.9210526316,1,FALSE,1,1,0.2,0.2631578947
M1_N2_dephase_z_iid_p_p0.70000_twirl,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.5443786982,0.4666666667,0.4556213018,0.5022222222,0.5039389377,0.9763313609,1,FALSE,1,1,0.06666666667,0.08875739645
M1_N2_dephase_z_iid_p_p0.80000_twirl,1,2,depolarizing,iid_p,0.8,0.8,0.4666666667,0.4556213018,0.5333333333,0.5443786982,0.5022222222,0.5039389377,1.020710059,1,FALSE,1,1,0.06666666667,0.08875739645
M1_N2_dephase_z_iid_p_p0.90000_twirl,1,2,depolarizing,iid_p,0.9,0.9,0.4,0.3684210526,0.6,0.6315789474,0.52,0.5346260388,1.052631579,1,FALSE,1,1,0.2,0.2631578947
M1_N4_dephase_z_iid_p_p0.01000_twirl,1,4,depolarizing,iid_p,0.01,0.01,0.9933333333,0.9948997378,0.006666666667,0.005100262182,0.9867555556,0.989851501,0.7650393273,2,FALSE,2,1,0.9866666667,0.9897994756
M1_N4_dephase_z_iid_p_p0.10000_twirl,1,4,depolarizing,iid_p,0.1,0.1,0.9333333333,0.939897856,0.06666666667,0.06010214404,0.8755555556,0.8870202474,0.9015321606,2,FALSE,2,1,0.8666666667,0.8797957119
M1_N4_dephase_z_iid_p_p0.20000_twirl,1,4,depolarizing,iid_p,0.2,0.2,0.8666666667,0.8608854651,0.1333333333,0.1391145349,0.7688888889,0.7604766378,1.043359012,2,FALSE,2,1,0.7333333333,0.7217709301
M1_N4_dephase_z_iid_p_p0.30000_twirl,1,4,depolarizing,iid_p,0.3,0.3,0.8,0.7692307692,0.2,0.2307692308,0.68,0.6449704142,1.153846154,2,FALSE,2,1,0.6,0.5384615385
M1_N4_dephase_z_iid_p_p0.40000_twirl,1,4,depolarizing,iid_p,0.4,0.4,0.7333333333,0.6761749633,0.2666666667,0.3238250367,0.6088888889,0.5620752354,1.214343888,2,FALSE,2,1,0.4666666667,0.3523499265
M1_N4_dephase_z_iid_p_p0.50000_twirl,1,4,depolarizing,iid_p,0.5,0.5,0.6666666667,0.5945945946,0.3333333333,0.4054054054,0.5555555556,0.5178962747,1.216216216,2,FALSE,2,1,0.3333333333,0.1891891892
M1_N4_dephase_z_iid_p_p0.60000_twirl,1,4,depolarizing,iid_p,0.6,0.6,0.6,0.5350553506,0.4,0.4649446494,0.52,0.5024577552,1.162361624,2,FALSE,2,1,0.2,0.07011070111
M1_N4_dephase_z_iid_p_p0.70000_twirl,1,4,depolarizing,iid_p,0.7,0.7,0.5333333333,0.5039447271,0.4666666667,0.4960552729,0.5022222222,0.5000311217,1.062975585,2,FALSE,2,1,0.06666666667,0.007889454274
M1_N4_dephase_z_iid_p_p0.80000_twirl,1,4,depolarizing,iid_p,0.8,0.8,0.4666666667,0.5039447271,0.5333333333,0.4960552729,0.5022222222,0.5000311217,0.9301036366,2,FALSE,2,1,0.06666666667,0.007889454274
M1_N4_dephase_z_iid_p_p0.90000_twirl,1,4,depolarizing,iid_p,0.9,0.9,0.4,0.5350553506,0.6,0.4649446494,0.52,0.5024577552,0.7749077491,2,FALSE,2,1,0.2,0.07011070111
M1_N8_dephase_z_iid_p_p0.01000_twirl,1,8,depolarizing,iid_p,0.01,0.01,0.9933333333,0.9940128815,0.006666666667,0.00598711853,0.9867555556,0.9880974541,0.8980677795,3,FALSE,3,1,0.9866666667,0.9880257629
M1_N8_dephase_z_iid_p_p0.10000_twirl,1,8,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9258064765,0.06666666667,0.07419352351,0.8755555556,0.8626223108,1.112902853,3,FALSE,3,1,0.8666666667,0.851612953
M1_N8_dephase_z_iid_p_p0.20000_twirl,1,8,depolarizing,iid_p,0.2,0.2,0.8666666667,0.8227276419,0.1333333333,0.1772723581,0.7688888889,0.7083062617,1.329542686,3,FALSE,3,1,0.7333333333,0.6454552837
M1_N8_dephase_z_iid_p_p0.30000_twirl,1,8,depolarizing,iid_p,0.3,0.3,0.8,0.7081427264,0.2,0.2918572736,0.68,0.5866467891,1.459286368,3,FALSE,3,1,0.6,0.4162854529
M1_N8_dephase_z_iid_p_p0.40000_twirl,1,8,depolarizing,iid_p,0.4,0.4,0.7333333333,0.6086408617,0.2666666667,0.3913591383,0.6088888889,0.5236056737,1.467596768,3,FALSE,3,1,0.4666666667,0.2172817235
M1_N8_dephase_z_iid_p_p0.50000_twirl,1,8,depolarizing,iid_p,0.5,0.5,0.6666666667,0.5419863828,0.3333333333,0.4580136172,0.5555555556,0.5035257127,1.374040852,3,FALSE,3,1,0.3333333333,0.08397276559
M1_N8_dephase_z_iid_p_p0.60000_twirl,1,8,depolarizing,iid_p,0.6,0.6,0.6,0.5093474808,0.4,0.4906525192,0.52,0.5001747508,1.226631298,3,FALSE,3,1,0.2,0.01869496169
M1_N8_dephase_z_iid_p_p0.70000_twirl,1,8,depolarizing,iid_p,0.7,0.7,0.5333333333,0.5003506424,0.4666666667,0.4996493576,0.5022222222,0.5000002459,1.070677195,3,FALSE,3,1,0.06666666667,0.0007012847597
M1_N8_dephase_z_iid_p_p0.80000_twirl,1,8,depolarizing,iid_p,0.8,0.8,0.4666666667,0.4996493576,0.5333333333,0.5003506424,0.5022222222,0.5000002459,0.9381574545,3,FALSE,3,1,0.06666666667,0.0007012847597
M1_N8_dephase_z_iid_p_p0.90000_twirl,1,8,depolarizing,iid_p,0.9,0.9,0.4,0.4906525192,0.6,0.5093474808,0.52,0.5001747508,0.8489124681,3,FALSE,3,1,0.2,0.01869496169
M1_N16_dephase_z_iid_p_p0.01000_twirl,1,16,depolarizing,iid_p,0.01,0.01,0.9933333333,0.9935539359,0.006666666667,0.006446064052,0.9867555556,0.9871909754,0.9669096079,4,FALSE,4,1,0.9866666667,0.9871078719
M1_N16_dephase_z_iid_p_p0.10000_twirl,1,16,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9164281196,0.06666666667,0.0835718804,0.8755555556,0.8468247576,1.253578206,4,FALSE,4,1,0.8666666667,0.8328562392
M1_N16_dephase_z_iid_p_p0.20000_twirl,1,16,depolarizing,iid_p,0.2,0.2,0.8666666667,0.7936273415,0.1333333333,0.2063726585,0.7688888889,0.6724340313,1.547794939,4,FALSE,4,1,0.7333333333,0.5872546829
M1_N16_dephase_z_iid_p_p0.30000_twirl,1,16,depolarizing,iid_p,0.3,0.3,0.8,0.6631220213,0.2,0.3368779787,0.68,0.5532175877,1.684389893,4,FALSE,4,1,0.6,0.3262440426
