run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N4_dephase_z_iid_p_p0.60000_twirl,0,1,1,2,2,depolarizing,iid_p,0.6,0.6,0.76,0,FALSE,0.6315789474,0.3684210526,0.5346260388,0.2631578947,1,1,1,0.6,0.3684210526,0.4,0.5346260388,0.52
M1_N4_dephase_z_iid_p_p0.60000_twirl,1,1,2,4,4,depolarizing,iid_p,0.6,0.6,0.7506925208,0,FALSE,0.5350553506,0.4649446494,0.5024577552,0.07011070111,2,1,0.6315789474,0.5263157895,0.4649446494,0.4736842105,0.5024577552,0.5013850416
M1_N4_dephase_z_iid_p_p0.70000_twirl,0,1,1,2,2,depolarizing,iid_p,0.7,0.7,0.7511111111,0,FALSE,0.5443786982,0.4556213018,0.5039389377,0.08875739645,1,1,1,0.5333333333,0.4556213018,0.4666666667,0.5039389377,0.5022222222
M1_N4_dephase_z_iid_p_p0.70000_twirl,1,1,2,4,4,depolarizing,iid_p,0.7,0.7,0.7500087532,0,FALSE,0.5039447271,0.4960552729,0.5000311217,0.007889454274,2,1,0.5443786982,0.5029585799,0.4960552729,0.4970414201,0.5000311217,0.5000175064
M1_N4_dephase_z_iid_p_p0.80000_twirl,0,1,1,2,2,depolarizing,iid_p,0.8,0.8,0.7511111111,0,FALSE,0.4556213018,0.5443786982,0.5039389377,0.08875739645,1,1,1,0.4666666667,0.5443786982,0.5333333333,0.5039389377,0.5022222222
M1_N4_dephase_z_iid_p_p0.80000_twirl,1,1,2,4,4,depolarizing,iid_p,0.8,0.8,0.7500087532,0,FALSE,0.5039447271,0.4960552729,0.5000311217,0.007889454274,2,1,0.4556213018,0.5029585799,0.4960552729,0.4970414201,0.5000311217,0.5000175064
M1_N4_dephase_z_iid_p_p0.90000_twirl,0,1,1,2,2,depolarizing,iid_p,0.9,0.9,0.76,0,FALSE,0.3684210526,0.6315789474,0.5346260388,0.2631578947,1,1,1,0.4,0.6315789474,0.6,0.5346260388,0.52
M1_N4_dephase_z_iid_p_p0.90000_twirl,1,1,2,4,4,depolarizing,iid_p,0.9,0.9,0.7506925208,0,FALSE,0.5350553506,0.4649446494,0.5024577552,0.07011070111,2,1,0.3684210526,0.5263157895,0.4649446494,0.4736842105,0.5024577552,0.5013850416
M1_N8_dephase_z_iid_p_p0.01000_twirl,0,1,1,2,2,depolarizing,iid_p,0.01,0.01,0.9933777778,0,FALSE,0.9966220751,0.003377924925,0.9932669709,0.9932441501,1,1,1,0.9933333333,0.003377924925,0.006666666667,0.9932669709,0.9867555556
M1_N8_dephase_z_iid_p_p0.01000_twirl,1,1,2,4,4,depolarizing,iid_p,0.01,0.01,0.9901004385,0,FALSE,0.9948997378,0.005100262182,0.989851501,0.9897994756,2,1,0.9966220751,0.9900004474,0.005100262182,0.009999552593,0.989851501,0.9802008769
M1_N8_dephase_z_iid_p_p0.01000_twirl,2,1,3,6,6,depolarizing,iid_p,0.01,0.01,0.9884379395,0,FALSE,0.9940128815,0.00598711853,0.9880974541,0.9880257629,3,1,0.9948997378,0.9883010746,0.00598711853,0.01169892535,0.9880974541,0.976875879
M1_N8_dephase_z_iid_p_p0.10000_twirl,0,1,1,2,2,depolarizing,iid_p,0.1,0.1,0.9377777778,0,FALSE,0.9620853081,0.03791469194,0.9270456638,0.9241706161,1,1,1,0.9333333333,0.03791469194,0.06666666667,0.9270456638,0.8755555556
M1_N8_dephase_z_iid_p_p0.10000_twirl,1,1,2,4,4,depolarizing,iid_p,0.1,0.1,0.9103793715,0,FALSE,0.939897856,0.06010214404,0.8870202474,0.8797957119,2,1,0.9620853081,0.9004739336,0.06010214404,0.09952606635,0.8870202474,0.8207587431
M1_N8_dephase_z_iid_p_p0.10000_twirl,2,1,3,6,6,depolarizing,iid_p,0.1,0.1,0.895347604,0,FALSE,0.9258064765,0.07419352351,0.8626223108,0.851612953,3,1,0.939897856,0.8812448085,0.07419352351,0.1187551915,0.8626223108,0.790695208
M1_N8_dephase_z_iid_p_p0.20000_twirl,0,1,1,2,2,depolarizing,iid_p,0.2,0.2,0.8844444444,0,FALSE,0.9145728643,0.08542713568,0.8437413197,0.8291457286,1,1,1,0.8666666667,0.08542713568,0.1333333333,0.8437413197,0.7688888889
