run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M1_N16_p0.0100_dephasing,1,16,0.01,dephasing,4,31,1.0,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.1000_depolarizing,1,16,0.1,depolarizing,4,31,0.875,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.1000_dephasing,1,16,0.1,dephasing,4,31,0.875,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.2000_depolarizing,1,16,0.2,depolarizing,4,31,0.75,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.2000_dephasing,1,16,0.2,dephasing,4,31,0.75,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.3000_depolarizing,1,16,0.3,depolarizing,4,31,0.75,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.3000_dephasing,1,16,0.3,dephasing,4,31,0.625,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.4000_depolarizing,1,16,0.4,depolarizing,4,31,0.875,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.4000_dephasing,1,16,0.4,dephasing,4,31,0.625,1.0,8192,aer_simulator,15,31,8,
batch_M1_N16_p0.5000_depolarizing,1,16,0.5,depolarizing,4,31,0.75,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.5000_dephasing,1,16,0.5,dephasing,4,31,0.5,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.6000_depolarizing,1,16,0.6,depolarizing,4,31,0.625,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.6000_dephasing,1,16,0.6,dephasing,4,31,0.375,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.7000_depolarizing,1,16,0.7,depolarizing,4,31,0.375,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.7000_dephasing,1,16,0.7,dephasing,4,31,0.125,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.8000_depolarizing,1,16,0.8,depolarizing,4,31,0.375,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.8000_dephasing,1,16,0.8,dephasing,4,31,0.125,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.9000_depolarizing,1,16,0.9,depolarizing,4,31,0.5,1.0,8192,aer_simulator,16,31,8,
batch_M1_N16_p0.9000_dephasing,1,16,0.9,dephasing,4,31,0.125,1.0,8192,aer_simulator,16,31,8,
batch_M2_N2_p0.0100_depolarizing,2,2,0.01,depolarizing,1,5,1.0,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.0100_dephasing,2,2,0.01,dephasing,1,5,1.0,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.1000_depolarizing,2,2,0.1,depolarizing,1,5,0.875,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.1000_dephasing,2,2,0.1,dephasing,1,5,0.875,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.2000_depolarizing,2,2,0.2,depolarizing,1,5,0.5,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.2000_dephasing,2,2,0.2,dephasing,1,5,0.5,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.3000_depolarizing,2,2,0.3,depolarizing,1,5,0.5,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.3000_dephasing,2,2,0.3,dephasing,1,5,0.375,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.4000_depolarizing,2,2,0.4,depolarizing,1,5,0.5,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.4000_dephasing,2,2,0.4,dephasing,1,5,0.375,1.0,8192,aer_simulator,7,5,8,
batch_M2_N2_p0.5000_depolarizing,2,2,0.5,depolarizing,1,5,0.375,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.5000_dephasing,2,2,0.5,dephasing,1,5,0.25,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.6000_depolarizing,2,2,0.6,depolarizing,1,5,0.125,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.6000_dephasing,2,2,0.6,dephasing,1,5,0.0,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.7000_depolarizing,2,2,0.7,depolarizing,1,5,0.125,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.7000_dephasing,2,2,0.7,dephasing,1,5,0.0,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.8000_depolarizing,2,2,0.8,depolarizing,1,5,0.125,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.8000_dephasing,2,2,0.8,dephasing,1,5,0.0,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.9000_depolarizing,2,2,0.9,depolarizing,1,5,0.25,1.0,8192,aer_simulator,8,5,8,
batch_M2_N2_p0.9000_dephasing,2,2,0.9,dephasing,1,5,0.0,1.0,8192,aer_simulator,8,5,8,
batch_M2_N4_p0.0100_depolarizing,2,4,0.01,depolarizing,2,11,1.0,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.0100_dephasing,2,4,0.01,dephasing,2,11,1.0,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.1000_depolarizing,2,4,0.1,depolarizing,2,11,0.875,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.1000_dephasing,2,4,0.1,dephasing,2,11,0.875,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.2000_depolarizing,2,4,0.2,depolarizing,2,11,0.5,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.2000_dephasing,2,4,0.2,dephasing,2,11,0.5,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.3000_depolarizing,2,4,0.3,depolarizing,2,11,0.5,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.3000_dephasing,2,4,0.3,dephasing,2,11,0.375,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.4000_depolarizing,2,4,0.4,depolarizing,2,11,0.5,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.4000_dephasing,2,4,0.4,dephasing,2,11,0.375,1.0,8192,aer_simulator,11,11,8,
batch_M2_N4_p0.5000_depolarizing,2,4,0.5,depolarizing,2,11,0.375,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.5000_dephasing,2,4,0.5,dephasing,2,11,0.25,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.6000_depolarizing,2,4,0.6,depolarizing,2,11,0.125,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.6000_dephasing,2,4,0.6,dephasing,2,11,0.0,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.7000_depolarizing,2,4,0.7,depolarizing,2,11,0.125,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.7000_dephasing,2,4,0.7,dephasing,2,11,0.0,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.8000_depolarizing,2,4,0.8,depolarizing,2,11,0.125,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.8000_dephasing,2,4,0.8,dephasing,2,11,0.0,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.9000_depolarizing,2,4,0.9,depolarizing,2,11,0.25,1.0,8192,aer_simulator,12,11,8,
batch_M2_N4_p0.9000_dephasing,2,4,0.9,dephasing,2,11,0.0,1.0,8192,aer_simulator,12,11,8,
batch_M2_N8_p0.0100_depolarizing,2,8,0.01,depolarizing,3,23,1.0,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.0100_dephasing,2,8,0.01,dephasing,3,23,1.0,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.1000_depolarizing,2,8,0.1,depolarizing,3,23,0.875,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.1000_dephasing,2,8,0.1,dephasing,3,23,0.875,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.2000_depolarizing,2,8,0.2,depolarizing,3,23,0.5,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.2000_dephasing,2,8,0.2,dephasing,3,23,0.5,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.3000_depolarizing,2,8,0.3,depolarizing,3,23,0.5,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.3000_dephasing,2,8,0.3,dephasing,3,23,0.375,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.4000_depolarizing,2,8,0.4,depolarizing,3,23,0.5,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.4000_dephasing,2,8,0.4,dephasing,3,23,0.375,1.0,8192,aer_simulator,15,23,8,
batch_M2_N8_p0.5000_depolarizing,2,8,0.5,depolarizing,3,23,0.375,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.5000_dephasing,2,8,0.5,dephasing,3,23,0.25,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.6000_depolarizing,2,8,0.6,depolarizing,3,23,0.125,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.6000_dephasing,2,8,0.6,dephasing,3,23,0.0,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.7000_depolarizing,2,8,0.7,depolarizing,3,23,0.125,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.7000_dephasing,2,8,0.7,dephasing,3,23,0.0,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.8000_depolarizing,2,8,0.8,depolarizing,3,23,0.125,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.8000_dephasing,2,8,0.8,dephasing,3,23,0.0,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.9000_depolarizing,2,8,0.9,depolarizing,3,23,0.25,1.0,8192,aer_simulator,16,23,8,
batch_M2_N8_p0.9000_dephasing,2,8,0.9,dephasing,3,23,0.0,1.0,8192,aer_simulator,16,23,8,
batch_M2_N16_p0.0100_depolarizing,2,16,0.01,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2412 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2412 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.0100_dephasing,2,16,0.01,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2414 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2414 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.1000_depolarizing,2,16,0.1,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2416 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2416 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
